,current_chapter,,,,,,,title,link,parser
-,新,,余,巻,note,link,link,,,
The Beginning After the End,420,381,39,,vol 10,link,https://www.novelpub.com/novel/the-beginning-after-the-end-novel-26041540,The Beginning After the End,https://tapas.io/series/TBATE/info,tapas
그녀와 야수,104,79,25,,fin,link,https://www.tappytoon.com/en/comics/the-lady-and-the-beast-novel,The Lady and the Beast,https://www.tappytoon.com/en/comics/the-lady-and-the-beast-novel,tappytoon
나를 버려주세요,131,>,,,fin,link,Radish,,,
남편은 됐고, 돈이나 벌렵니다,215,213,2,,all ~366,link,https://rubymaybetranslations.com/table-of-content-forget-my-husband/,Forget My Husband, I’ll Go Make Money,https://www.novelupdates.com/series/forget-my-husband-ill-go-make-money/,novel_updates
던전리셋,241,225,16,,fin,link,https://www.tappytoon.com/en/book/dungeon-reset-novel,Dungeon Reset,https://www.tappytoon.com/en/book/dungeon-reset-novel,tappytoon
백작가의 망나니가 되었다 2,52,0,52,,,link,https://www.lightnovelpub.com/novel/trash-count-wn-01072239,Trash of the Count’s Family,https://www.novelupdates.com/series/trash-of-the-counts-family/,novel_updates
상수리나무 아래,266,239,27,,all 450,link,https://www.webnovel.com/book/under-the-oak-tree_21949582605391005,Under the Oak Tree,https://www.webnovel.com/book/under-the-oak-tree_21949582605391005,webnovel
악녀 황후님이 날 너무 좋아해,125,109,16,,all 188,link,https://eternaltranslation.com/novel/the-evil-empress-adores-me/,The Evil Empress Adores Me,https://www.novelupdates.com/series/the-evil-empress-adores-me/,novel_updates
에보니,266,183,83,,fin,link,Radish,,,
역하렘 게임 속으로 떨어진 모양입니다,113,80,33,,all ~280,link,Radish,,,
인소의 법칙,244,>,,,fin,link,https://www.tappytoon.com/en/book/my-life-as-an-internet-novel-novel,My Life as an Internet Novel,https://www.tappytoon.com/en/book/my-life-as-an-internet-novel-novel,tappytoon
재혼 황후,433,420,13,,all ~524+외전,link,https://novelutopia.com/novel/remarried-empress/,Remarried Empress,https://www.novelupdates.com/series/remarried-empress/,novel_updates
あ アルマーク,678,670,8,,25章,link,https://ncode.syosetu.com/n9407fu/,【書籍化】アルマーク ～北の剣、南の杖～,https://ncode.syosetu.com/novelview/infotop/ncode/n9407fu/,syosetu
い 異世界居酒屋「のぶ」,260,260,0,,,link,https://ncode.syosetu.com/n9773bj/,異世界居酒屋「のぶ」,https://ncode.syosetu.com/novelview/infotop/ncode/n9773bj/,syosetu
い 異世界黙示録マイノグーラ,126,99,27,,5章,link,https://ncode.syosetu.com/n8760ei/,異世界黙示録マイノグーラ～破滅の文明で始める世界征服～,https://ncode.syosetu.com/novelview/infotop/ncode/n8760ei/,syosetu
お オーバーロード,16,16,0,巻,,link,https://bookwalker.jp/series/138219/,オーバーロード,https://bookwalker.jp/series/138219/,bookwalker
お 俺の死亡フラグが留まるところを知らない,121,118,3,,5部,link,https://ncode.syosetu.com/n4449cj/,俺の死亡フラグが留まるところを知らない,https://ncode.syosetu.com/novelview/infotop/ncode/n4449cj/,syosetu
か 家政魔導士の異世界生活,256,254,2,,7章,link,https://ncode.syosetu.com/n9792ef/,家政魔導士の異世界生活～冒険中の家政婦業承ります！,https://ncode.syosetu.com/novelview/infotop/ncode/n9792ef/,syosetu
く 薬屋のひとりごと,323,312,11,,日常編,link,https://ncode.syosetu.com/n9636x/,薬屋のひとりごと,https://ncode.syosetu.com/novelview/infotop/ncode/n9636x/,syosetu
こ 古典部,6,6,0,巻,,link,https://bookwalker.jp/series/1245/, 「古典部」シリーズ（角川文庫） ,https://bookwalker.jp/series/1245/,bookwalker
さ 最弱テイマーはゴミ拾いの旅を始めました。,830,769,61,,マーチュ村,link,https://ncode.syosetu.com/n9629ex/,最弱テイマーはゴミ拾いの旅を始めました。,https://ncode.syosetu.com/novelview/infotop/ncode/n9629ex/,syosetu
