title,latest_chapter,current_chapter,available,note,link
は 針子の乙女,74,66,7,,https://ncode.syosetu.com/novelview/infotop/ncode/n0020by
り 領民0人スタートの辺境領主様,347,296,49,,https://ncode.syosetu.com/novelview/infotop/ncode/n1980en
り Re:ゼロから始める異世界生活,614,504,107,7章,https://ncode.syosetu.com/novelview/infotop/ncode/n2267be
て 転生幼女はあきらめない,316,247,69,,https://ncode.syosetu.com/novelview/infotop/ncode/n2421eu
と とんでもスキルで異世界放浪メシ,640,625,13,,https://ncode.syosetu.com/novelview/infotop/ncode/n2710db
れ 歴史に残る悪女になるぞ,458,372,81,,https://ncode.syosetu.com/novelview/infotop/ncode/n4006fe
お 俺の死亡フラグが留まるところを知らない,121,118,3,5部,https://ncode.syosetu.com/novelview/infotop/ncode/n4449cj
て 転生したら剣でした,1,1076,64,,https://ncode.syosetu.com/novelview/infotop/ncode/n6006cw
ま 魔導具師ダリヤはうつむかない,426,381,43,,https://ncode.syosetu.com/novelview/infotop/ncode/n7787eq
し 死にやすい公爵令嬢七人の貴公子,202,185,17,6章,https://ncode.syosetu.com/novelview/infotop/ncode/n8204cp
せ 戦国小町苦労譚,204,195,9,1578,https://ncode.syosetu.com/novelview/infotop/ncode/n8406bm
し 死亡ルートを回避せよ！,40,39,1,,https://ncode.syosetu.com/novelview/infotop/ncode/n8743dv
い 異世界黙示録マイノグーラ,126,99,26,5章,https://ncode.syosetu.com/novelview/infotop/ncode/n8760ei
あ アルマーク,678,670,7,25章,https://ncode.syosetu.com/novelview/infotop/ncode/n9407fu
も モンスターがあふれる世界になったので、好きに生きたいと思います,259,233,25,,https://ncode.syosetu.com/novelview/infotop/ncode/n9418eg
さ 最弱テイマーはゴミ拾いの旅を始めました。,831,769,59,マーチュ村,https://ncode.syosetu.com/novelview/infotop/ncode/n9629ex
く 薬屋のひとりごと,323,312,11,日常編,https://ncode.syosetu.com/novelview/infotop/ncode/n9636x
い 異世界居酒屋「のぶ」,260,260,0,,https://ncode.syosetu.com/novelview/infotop/ncode/n9773bj
か 家政魔導士の異世界生活,256,254,2,7章,https://ncode.syosetu.com/novelview/infotop/ncode/n9792ef
